,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
337,Wanning,CN,77.36,overcast clouds,18.8003,110.3967,Paradise Hotel
342,Alofi,NU,80.49,scattered clouds,-19.0595,-169.9187,Taloa Heights
345,Bombay,IN,76.98,smoke,19.0144,72.8479,Hotel Avon Ruby-Dadar Hotels
348,Port Blair,IN,80.64,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
349,Manicore,BR,75.25,scattered clouds,-5.8092,-61.3003,Hotel Durval
350,Jacareacanga,BR,79.47,broken clouds,-6.2222,-57.7528,Casa do Ian😎
352,Galesong,ID,87.82,overcast clouds,-5.3166,119.3661,Sapriadi Appy
355,Soeng Sang,TH,75.88,overcast clouds,14.4264,102.4606,ปาณิสรา รีสอร์ท
356,Marawi,PH,85.23,overcast clouds,7.9986,124.2928,Derogongan Residence
359,Parintins,BR,79.63,overcast clouds,-2.6283,-56.7358,Cama e Cafe
361,Port Hedland,AU,80.65,clear sky,-20.3167,118.5667,The Esplanade Hotel
365,Sao Felix Do Xingu,BR,76.35,scattered clouds,-6.6447,-51.995,Rio Xingu Camping
372,Lahaina,US,83.44,few clouds,20.8783,-156.6825,Lahaina Shores Beach Resort
375,Meulaboh,ID,76.6,light rain,4.1363,96.1285,Kost Pria
380,Puerto Madero,MX,80.6,scattered clouds,14.7208,-92.4215,DEPARTAMENTOS LA ESTANCIA
384,Atar,MR,76.64,clear sky,20.5169,-13.0499,Oumou Elghoura
386,Carmen,MX,79.72,scattered clouds,18.6333,-91.8333,Hotel Lossandes
388,Itacoatiara,BR,80.55,overcast clouds,-3.1431,-58.4442,BBB Rooms Centro Itacoatiara AM
389,Kipini,KE,79.09,light rain,-2.5257,40.5262,Delta Sea Mall
394,Lumphat,KH,82.92,broken clouds,13.4878,106.9816,"Wing Seng Narong Agent, And Printing House"
395,Bonoua,CI,76.62,few clouds,5.2741,-3.595,Hotel Bon Samaritian
397,Bhatkal,IN,79.68,clear sky,13.9667,74.5667,Nilawar Palace Lodge
400,Cayenne,GF,75.24,mist,4.9333,-52.3333,Hôtel Le Dronmi
403,Payo,ID,84.85,overcast clouds,-3.7508,103.6372,Mess keban agung
404,Anjar,IN,80.37,clear sky,23.1333,70.0167,Manav Residency
410,Palu,ID,87.64,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
412,Palembang,ID,75.29,moderate rain,-2.9167,104.7458,ASTON Palembang Hotel & Conference Center
415,Artesia,US,75.87,clear sky,33.8658,-118.0831,Sheraton Cerritos Hotel
417,Bo Rai,TH,81.23,broken clouds,12.5728,102.5371,Baiboon Resort
419,Miri,MY,86.14,few clouds,4.4148,114.0089,"Mega Hotel, Miri"
425,Roi Et,TH,85.23,scattered clouds,15.75,103.75,ภาคินเซียงกง
430,Soyo,AO,77.54,light rain,-6.1349,12.3689,Hospedaria ndozi'ame
434,Iguape,BR,75.52,moderate rain,-24.7081,-47.5553,Hotel Pousada Nossa Senhora do Carmo
436,Soe,ID,77.97,overcast clouds,-9.8607,124.284,Dena Hotel
447,Celestun,MX,77.74,scattered clouds,20.8667,-90.4,Posada Lilia
452,Los Algarrobos,PA,75.61,light rain,8.5,-82.4333,Waterfall Hostel
454,Baleshwar,IN,76.8,overcast clouds,21.4942,86.9317,Banjara Hotels Pvt Ltd
461,Hobyo,SO,78.62,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
468,Tete,MZ,77.56,few clouds,-16.1564,33.5867,Zambeze Paraíso Misterioso
474,Puntarenas,CR,77.04,overcast clouds,9.9763,-84.8384,Hotel Don Robert
477,Oussouye,SN,78.03,clear sky,12.485,-16.5469,Auberge du Routard
479,Barmer,IN,79.93,clear sky,25.75,71.3833,Jain Dharamshala
492,Chirongui,YT,78.73,few clouds,-12.9319,45.1483,La Villa Mahatsara
494,Mangrol,IN,80.29,clear sky,21.1167,70.1167,Hotel The Royal Honours
